station_id,horizon_h,truth_in,valid
antillanca:CL:RESORT,24,0.0,True
antillanca:CL:RESORT,48,0.0,True
antillanca:CL:RESORT,72,,False
catedral:AR:RESORT,24,11.81,True
catedral:AR:RESORT,48,19.68,True
catedral:AR:RESORT,72,27.55,True
chapelco:AR:RESORT,24,0.0,True
chapelco:AR:RESORT,48,0.0,True
chapelco:AR:RESORT,72,0.0,True
coronet-peak:NZ:RESORT,24,0.79,True
coronet-peak:NZ:RESORT,48,0.79,True
coronet-peak:NZ:RESORT,72,0.79,True
la-hoya:AR:RESORT,24,0.39,True
la-hoya:AR:RESORT,48,0.78,True
la-hoya:AR:RESORT,72,1.17,True
las-lenas:AR:RESORT,24,,False
las-lenas:AR:RESORT,48,,False
las-lenas:AR:RESORT,72,,False
mt-hutt:NZ:RESORT,24,0.0,True
mt-hutt:NZ:RESORT,48,0.0,True
mt-hutt:NZ:RESORT,72,0.0,True
portillo:CL:RESORT,24,5.11,True
portillo:CL:RESORT,48,46.45,True
portillo:CL:RESORT,72,,False
remarkables:NZ:RESORT,24,0.0,True
remarkables:NZ:RESORT,48,0.0,True
remarkables:NZ:RESORT,72,0.0,True
thredbo:AU:RESORT,24,0.0,True
thredbo:AU:RESORT,48,0.0,True
thredbo:AU:RESORT,72,0.0,True
turoa:NZ:RESORT,24,0.0,True
turoa:NZ:RESORT,48,0.0,True
turoa:NZ:RESORT,72,0.0,True
valle-nevado:CL:RESORT,24,0.79,True
valle-nevado:CL:RESORT,48,26.77,True
valle-nevado:CL:RESORT,72,,False
whakapapa:NZ:RESORT,24,0.0,True
whakapapa:NZ:RESORT,48,0.0,True
whakapapa:NZ:RESORT,72,0.0,True
