station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-08-25T20:58:43+00:00,2026-08-25,217.0,cm,85.43,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-08-25T20:58:43+00:00,2026-08-25,77.0,cm,30.31,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-08-25T20:58:43+00:00,2026-08-25,166.0,cm,65.35,season_total,ok
thredbo:AU:RESORT,thredbo,2026-08-25T20:58:43+00:00,2026-08-24,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-08-25T20:58:43+00:00,2026-08-24,0.0,cm,0.0,snow24,ok
chapelco:AR:RESORT,chapelco,2026-08-25T20:58:43+00:00,2026-08-24,0.0,cm,0.0,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-08-25T20:58:43+00:00,2026-08-24,40.0,cm,15.75,snow24,ok
portillo:CL:RESORT,portillo,2026-08-25T20:58:43+00:00,2026-08-24,828.0,cm,325.98,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-08-25T20:58:43+00:00,2026-08-24,0.0,cm,0.0,snow24,ok
antillanca:CL:RESORT,antillanca,2026-08-25T20:58:43+00:00,2026-08-24,,cm,,snow24,http_error
las-lenas:AR:RESORT,las-lenas,2026-08-25T20:58:43+00:00,2026-08-24,20.0,cm,7.87,snow24,ok
turoa:NZ:RESORT,turoa,2026-08-25T20:58:43+00:00,2026-08-24,0.0,cm,0.0,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-08-25T20:58:43+00:00,2026-08-24,0.0,cm,0.0,snow24,ok
