station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-08-31T19:17:40+00:00,2026-08-30,255.0,cm,100.39,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-08-31T19:17:40+00:00,2026-08-30,95.0,cm,37.4,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-08-31T19:17:40+00:00,2026-08-30,213.0,cm,83.86,season_total,ok
thredbo:AU:RESORT,thredbo,2026-08-31T19:17:40+00:00,2026-08-30,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-08-31T19:17:40+00:00,2026-08-30,60.0,cm,23.62,snow24,ok
chapelco:AR:RESORT,chapelco,2026-08-31T19:17:40+00:00,2026-08-30,12.0,cm,4.72,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-08-31T19:17:40+00:00,2026-08-30,40.0,cm,15.75,snow24,ok
portillo:CL:RESORT,portillo,2026-08-31T19:17:40+00:00,2026-08-30,933.0,cm,367.32,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-08-31T19:17:40+00:00,2026-08-30,7.0,cm,2.76,snow24,ok
antillanca:CL:RESORT,antillanca,2026-08-31T19:17:40+00:00,2026-08-30,5.0,cm,1.97,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-08-31T19:17:40+00:00,2026-08-30,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-08-31T19:17:40+00:00,2026-08-30,10.0,cm,3.94,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-08-31T19:17:40+00:00,2026-08-30,0.0,cm,0.0,snow24,ok
