station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-08-16T20:49:41+00:00,2026-08-16,215.0,cm,84.65,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-08-16T20:49:41+00:00,2026-08-16,75.0,cm,29.53,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-08-16T20:49:41+00:00,2026-08-16,132.0,cm,51.97,season_total,ok
thredbo:AU:RESORT,thredbo,2026-08-16T20:49:41+00:00,2026-08-15,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-08-16T20:49:41+00:00,2026-08-15,4.0,cm,1.57,snow24,ok
chapelco:AR:RESORT,chapelco,2026-08-16T20:49:41+00:00,2026-08-15,1.0,cm,0.39,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-08-16T20:49:41+00:00,2026-08-15,40.0,cm,15.75,snow24,ok
portillo:CL:RESORT,portillo,2026-08-16T20:49:41+00:00,2026-08-15,796.0,cm,313.39,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-08-16T20:49:41+00:00,2026-08-15,36.0,cm,14.17,snow24,ok
antillanca:CL:RESORT,antillanca,2026-08-16T20:49:41+00:00,2026-08-15,,cm,,snow24,http_error
las-lenas:AR:RESORT,las-lenas,2026-08-16T20:49:41+00:00,2026-08-15,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-08-16T20:49:41+00:00,2026-08-15,15.0,cm,5.91,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-08-16T20:49:41+00:00,2026-08-15,0.0,cm,0.0,snow24,ok
