station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-08-29T22:54:22+00:00,2026-08-29,252.0,cm,99.21,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-08-29T22:54:22+00:00,2026-08-29,95.0,cm,37.4,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-08-29T22:54:22+00:00,2026-08-29,213.0,cm,83.86,season_total,ok
thredbo:AU:RESORT,thredbo,2026-08-29T22:54:22+00:00,2026-08-29,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-08-29T22:54:22+00:00,2026-08-28,60.0,cm,23.62,snow24,ok
chapelco:AR:RESORT,chapelco,2026-08-29T22:54:22+00:00,2026-08-28,17.0,cm,6.69,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-08-29T22:54:22+00:00,2026-08-28,40.0,cm,15.75,snow24,ok
portillo:CL:RESORT,portillo,2026-08-29T22:54:22+00:00,2026-08-28,918.0,cm,361.42,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-08-29T22:54:22+00:00,2026-08-28,0.0,cm,0.0,snow24,ok
antillanca:CL:RESORT,antillanca,2026-08-29T22:54:22+00:00,2026-08-28,10.0,cm,3.94,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-08-29T22:54:22+00:00,2026-08-28,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-08-29T22:54:22+00:00,2026-08-29,0.0,cm,0.0,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-08-29T22:54:22+00:00,2026-08-29,0.0,cm,0.0,snow24,ok
