station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-07-15T14:57:46+00:00,2026-07-14,158.0,cm,62.2,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-07-15T14:57:46+00:00,2026-07-14,40.0,cm,15.75,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-07-15T14:57:46+00:00,2026-07-14,33.0,cm,12.99,season_total,ok
thredbo:AU:RESORT,thredbo,2026-07-15T14:57:46+00:00,2026-07-14,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-07-15T14:57:46+00:00,2026-07-14,8.0,cm,3.15,snow24,ok
chapelco:AR:RESORT,chapelco,2026-07-15T14:57:46+00:00,2026-07-14,6.0,cm,2.36,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-07-15T14:57:46+00:00,2026-07-14,1.0,cm,0.39,snow24,ok
portillo:CL:RESORT,portillo,2026-07-15T14:57:46+00:00,2026-07-14,64.0,cm,25.2,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-07-15T14:57:46+00:00,2026-07-13,1.0,cm,0.39,snow24,ok
antillanca:CL:RESORT,antillanca,2026-07-15T14:57:46+00:00,2026-07-14,,cm,,snow24,http_error
las-lenas:AR:RESORT,las-lenas,2026-07-15T14:57:46+00:00,2026-07-14,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-07-15T14:57:46+00:00,2026-07-14,2.0,cm,0.79,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-07-15T14:57:46+00:00,2026-07-14,0.0,cm,0.0,snow24,ok
