station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-09-02T17:04:33+00:00,2026-09-01,255.0,cm,100.39,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-09-02T17:04:33+00:00,2026-09-01,95.0,cm,37.4,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-09-02T17:04:33+00:00,2026-09-01,213.0,cm,83.86,season_total,ok
thredbo:AU:RESORT,thredbo,2026-09-02T17:04:33+00:00,2026-09-01,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-09-02T17:04:33+00:00,2026-09-01,60.0,cm,23.62,snow24,ok
chapelco:AR:RESORT,chapelco,2026-09-02T17:04:33+00:00,2026-09-01,7.0,cm,2.76,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-09-02T17:04:33+00:00,2026-09-01,40.0,cm,15.75,snow24,ok
portillo:CL:RESORT,portillo,2026-09-02T17:04:33+00:00,2026-09-01,936.0,cm,368.5,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-09-02T17:04:33+00:00,2026-08-31,0.0,cm,0.0,snow24,ok
antillanca:CL:RESORT,antillanca,2026-09-02T17:04:33+00:00,2026-09-01,0.0,cm,0.0,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-09-02T17:04:33+00:00,2026-09-01,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-09-02T17:04:33+00:00,2026-09-01,10.0,cm,3.94,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-09-02T17:04:33+00:00,2026-09-01,0.0,cm,0.0,snow24,ok
