station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-07-31T21:35:43+00:00,2026-07-31,188.0,cm,74.02,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-07-31T21:35:43+00:00,2026-07-31,68.0,cm,26.77,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-07-31T21:35:43+00:00,2026-07-31,80.0,cm,31.5,season_total,ok
thredbo:AU:RESORT,thredbo,2026-07-31T21:35:43+00:00,2026-07-31,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-07-31T21:35:43+00:00,2026-07-30,0.0,cm,0.0,snow24,ok
chapelco:AR:RESORT,chapelco,2026-07-31T21:35:43+00:00,2026-07-30,0.0,cm,0.0,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-07-31T21:35:43+00:00,2026-07-30,8.0,cm,3.15,snow24,ok
portillo:CL:RESORT,portillo,2026-07-31T21:35:43+00:00,2026-07-30,621.0,cm,244.49,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-07-31T21:35:43+00:00,2026-07-30,4.0,cm,1.57,snow24,ok
antillanca:CL:RESORT,antillanca,2026-07-31T21:35:43+00:00,2026-07-30,0.0,cm,0.0,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-07-31T21:35:43+00:00,2026-07-30,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-07-31T21:35:43+00:00,2026-07-31,20.0,cm,7.87,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-07-31T21:35:43+00:00,2026-07-30,10.0,cm,3.94,snow24,ok
