station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-09-03T16:45:09+00:00,2026-09-02,255.0,cm,100.39,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-09-03T16:45:09+00:00,2026-09-02,95.0,cm,37.4,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-09-03T16:45:09+00:00,2026-09-02,213.0,cm,83.86,season_total,ok
thredbo:AU:RESORT,thredbo,2026-09-03T16:45:09+00:00,2026-09-02,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-09-03T16:45:09+00:00,2026-09-02,0.0,cm,0.0,snow24,ok
chapelco:AR:RESORT,chapelco,2026-09-03T16:45:09+00:00,2026-09-02,4.0,cm,1.57,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-09-03T16:45:09+00:00,2026-09-02,40.0,cm,15.75,snow24,ok
portillo:CL:RESORT,portillo,2026-09-03T16:45:09+00:00,2026-09-02,936.0,cm,368.5,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-09-03T16:45:09+00:00,2026-09-01,0.0,cm,0.0,snow24,ok
antillanca:CL:RESORT,antillanca,2026-09-03T16:45:09+00:00,2026-09-02,11.0,cm,4.33,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-09-03T16:45:09+00:00,2026-09-02,40.0,cm,15.75,snow24,ok
turoa:NZ:RESORT,turoa,2026-09-03T16:45:09+00:00,2026-09-02,0.0,cm,0.0,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-09-03T16:45:09+00:00,2026-09-02,0.0,cm,0.0,snow24,ok
