station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-07-24T15:07:03+00:00,2026-07-23,163.0,cm,64.17,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-07-24T15:07:03+00:00,2026-07-23,43.0,cm,16.93,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-07-24T15:07:03+00:00,2026-07-23,33.0,cm,12.99,season_total,ok
thredbo:AU:RESORT,thredbo,2026-07-24T15:07:03+00:00,2026-07-23,4.0,cm,1.57,snow24,ok
catedral:AR:RESORT,catedral,2026-07-24T15:07:03+00:00,2026-07-23,25.0,cm,9.84,snow24,ok
chapelco:AR:RESORT,chapelco,2026-07-24T15:07:03+00:00,2026-07-23,10.0,cm,3.94,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-07-24T15:07:03+00:00,2026-07-23,1.0,cm,0.39,snow24,ok
portillo:CL:RESORT,portillo,2026-07-24T15:07:03+00:00,2026-07-23,553.0,cm,217.72,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-07-24T15:07:03+00:00,2026-07-22,11.0,cm,4.33,snow24,ok
antillanca:CL:RESORT,antillanca,2026-07-24T15:07:03+00:00,2026-07-23,,cm,,snow24,http_error
las-lenas:AR:RESORT,las-lenas,2026-07-24T15:07:03+00:00,2026-07-23,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-07-24T15:07:03+00:00,2026-07-23,0.0,cm,0.0,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-07-24T15:07:03+00:00,2026-07-23,0.0,cm,0.0,snow24,ok
