station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-08-05T21:51:00+00:00,2026-08-05,188.0,cm,74.02,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-08-05T21:51:00+00:00,2026-08-05,71.0,cm,27.95,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-08-05T21:51:00+00:00,2026-08-05,117.0,cm,46.06,season_total,ok
thredbo:AU:RESORT,thredbo,2026-08-05T21:51:00+00:00,2026-08-05,10.0,cm,3.94,snow24,ok
catedral:AR:RESORT,catedral,2026-08-05T21:51:00+00:00,2026-08-04,17.0,cm,6.69,snow24,ok
chapelco:AR:RESORT,chapelco,2026-08-05T21:51:00+00:00,2026-08-04,3.0,cm,1.18,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-08-05T21:51:00+00:00,2026-08-04,8.0,cm,3.15,snow24,ok
portillo:CL:RESORT,portillo,2026-08-05T21:51:00+00:00,2026-08-04,701.0,cm,275.98,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-08-05T21:51:00+00:00,2026-08-04,0.0,cm,0.0,snow24,ok
antillanca:CL:RESORT,antillanca,2026-08-05T21:51:00+00:00,2026-08-04,0.0,cm,0.0,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-08-05T21:51:00+00:00,2026-08-04,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-08-05T21:51:00+00:00,2026-08-05,5.0,cm,1.97,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-08-05T21:51:00+00:00,2026-08-04,0.0,cm,0.0,snow24,ok
