station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-09-11T16:50:32+00:00,2026-09-10,290.0,cm,114.17,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-09-11T16:50:32+00:00,2026-09-10,100.0,cm,39.37,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-09-11T16:50:32+00:00,2026-09-10,283.0,cm,111.42,season_total,ok
thredbo:AU:RESORT,thredbo,2026-09-11T16:50:32+00:00,2026-09-10,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-09-11T16:50:32+00:00,2026-09-10,0.0,cm,0.0,snow24,ok
chapelco:AR:RESORT,chapelco,2026-09-11T16:50:32+00:00,2026-09-10,0.0,cm,0.0,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-09-11T16:50:32+00:00,2026-09-10,40.0,cm,15.75,snow24,ok
portillo:CL:RESORT,portillo,2026-09-11T16:50:32+00:00,2026-09-10,964.0,cm,379.53,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-09-11T16:50:32+00:00,2026-09-09,5.0,cm,1.97,snow24,ok
antillanca:CL:RESORT,antillanca,2026-09-11T16:50:32+00:00,2026-09-10,0.0,cm,0.0,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-09-11T16:50:32+00:00,2026-09-10,30.0,cm,11.81,snow24,ok
turoa:NZ:RESORT,turoa,2026-09-11T16:50:32+00:00,2026-09-10,2.0,cm,0.79,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-09-11T16:50:32+00:00,2026-09-10,0.0,cm,0.0,snow24,ok
