station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-08-03T21:41:13+00:00,2026-08-03,188.0,cm,74.02,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-08-03T21:41:13+00:00,2026-08-03,71.0,cm,27.95,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-08-03T21:41:13+00:00,2026-08-03,80.0,cm,31.5,season_total,ok
thredbo:AU:RESORT,thredbo,2026-08-03T21:41:13+00:00,2026-08-03,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-08-03T21:41:13+00:00,2026-08-02,45.0,cm,17.72,snow24,ok
chapelco:AR:RESORT,chapelco,2026-08-03T21:41:13+00:00,2026-08-02,15.0,cm,5.91,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-08-03T21:41:13+00:00,2026-08-02,8.0,cm,3.15,snow24,ok
portillo:CL:RESORT,portillo,2026-08-03T21:41:13+00:00,2026-08-02,696.0,cm,274.02,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-08-03T21:41:13+00:00,2026-08-02,4.0,cm,1.57,snow24,ok
antillanca:CL:RESORT,antillanca,2026-08-03T21:41:13+00:00,2026-08-02,0.0,cm,0.0,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-08-03T21:41:13+00:00,2026-08-02,70.0,cm,27.56,snow24,ok
turoa:NZ:RESORT,turoa,2026-08-03T21:41:13+00:00,2026-08-03,0.0,cm,0.0,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-08-03T21:41:13+00:00,2026-08-02,0.0,cm,0.0,snow24,ok
