station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-07-25T21:14:42+00:00,2026-07-25,178.0,cm,70.08,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-07-25T21:14:42+00:00,2026-07-25,54.0,cm,21.26,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-07-25T21:14:42+00:00,2026-07-25,33.0,cm,12.99,season_total,ok
thredbo:AU:RESORT,thredbo,2026-07-25T21:14:42+00:00,2026-07-25,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-07-25T21:14:42+00:00,2026-07-24,50.0,cm,19.69,snow24,ok
chapelco:AR:RESORT,chapelco,2026-07-25T21:14:42+00:00,2026-07-24,40.0,cm,15.75,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-07-25T21:14:42+00:00,2026-07-24,2.0,cm,0.79,snow24,ok
portillo:CL:RESORT,portillo,2026-07-25T21:14:42+00:00,2026-07-24,580.0,cm,228.35,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-07-25T21:14:42+00:00,2026-07-24,22.0,cm,8.66,snow24,ok
antillanca:CL:RESORT,antillanca,2026-07-25T21:14:42+00:00,2026-07-24,30.0,cm,11.81,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-07-25T21:14:42+00:00,2026-07-24,30.0,cm,11.81,snow24,ok
turoa:NZ:RESORT,turoa,2026-07-25T21:14:42+00:00,2026-07-25,40.0,cm,15.75,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-07-25T21:14:42+00:00,2026-07-24,21.0,cm,8.27,snow24,ok
