station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-07-21T21:41:56+00:00,2026-07-21,158.0,cm,62.2,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-07-21T21:41:56+00:00,2026-07-21,42.0,cm,16.54,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-07-21T21:41:56+00:00,2026-07-21,33.0,cm,12.99,season_total,ok
thredbo:AU:RESORT,thredbo,2026-07-21T21:41:56+00:00,2026-07-21,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-07-21T21:41:56+00:00,2026-07-20,0.0,cm,0.0,snow24,ok
chapelco:AR:RESORT,chapelco,2026-07-21T21:41:56+00:00,2026-07-20,0.0,cm,0.0,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-07-21T21:41:56+00:00,2026-07-20,1.0,cm,0.39,snow24,ok
portillo:CL:RESORT,portillo,2026-07-21T21:41:56+00:00,2026-07-20,470.0,cm,185.04,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-07-21T21:41:56+00:00,2026-07-20,39.0,cm,15.35,snow24,ok
antillanca:CL:RESORT,antillanca,2026-07-21T21:41:56+00:00,2026-07-20,0.0,cm,0.0,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-07-21T21:41:56+00:00,2026-07-20,20.0,cm,7.87,snow24,ok
turoa:NZ:RESORT,turoa,2026-07-21T21:41:56+00:00,2026-07-21,0.0,cm,0.0,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-07-21T21:41:56+00:00,2026-07-20,0.0,cm,0.0,snow24,ok
