station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-08-18T20:59:21+00:00,2026-08-18,215.0,cm,84.65,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-08-18T20:59:21+00:00,2026-08-18,77.0,cm,30.31,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-08-18T20:59:21+00:00,2026-08-18,146.0,cm,57.48,season_total,ok
thredbo:AU:RESORT,thredbo,2026-08-18T20:59:21+00:00,2026-08-17,0.0,cm,0.0,snow24,ok
catedral:AR:RESORT,catedral,2026-08-18T20:59:21+00:00,2026-08-17,4.0,cm,1.57,snow24,ok
chapelco:AR:RESORT,chapelco,2026-08-18T20:59:21+00:00,2026-08-17,0.0,cm,0.0,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-08-18T20:59:21+00:00,2026-08-17,40.0,cm,15.75,snow24,ok
portillo:CL:RESORT,portillo,2026-08-18T20:59:21+00:00,2026-08-17,819.0,cm,322.44,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-08-18T20:59:21+00:00,2026-08-17,0.0,cm,0.0,snow24,ok
antillanca:CL:RESORT,antillanca,2026-08-18T20:59:21+00:00,2026-08-17,0.0,cm,0.0,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-08-18T20:59:21+00:00,2026-08-17,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-08-18T20:59:21+00:00,2026-08-17,15.0,cm,5.91,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-08-18T20:59:21+00:00,2026-08-17,0.0,cm,0.0,snow24,ok
