station_id,horizon_h,truth_in,valid
antillanca:CL:ERA5,24,2.838582677165354,True
antillanca:CL:ERA5,48,5.2637795275590555,True
antillanca:CL:ERA5,72,,False
cardrona:NZ:ERA5,24,0.5787401574803149,True
cardrona:NZ:ERA5,48,1.3779527559055116,True
cardrona:NZ:ERA5,72,1.3779527559055116,True
castor:AR:ERA5,24,0.0,True
castor:AR:ERA5,48,0.22047244094488191,True
castor:AR:ERA5,72,,False
catedral:AR:ERA5,24,4.68503937007874,True
catedral:AR:ERA5,48,9.618110236220472,True
catedral:AR:ERA5,72,,False
caviahue:AR:ERA5,24,1.1574803149606299,True
caviahue:AR:ERA5,48,2.7283464566929134,True
caviahue:AR:ERA5,72,,False
chapelco:AR:ERA5,24,7.358267716535433,True
chapelco:AR:ERA5,48,14.992125984251969,True
chapelco:AR:ERA5,72,,False
coronet-peak:NZ:ERA5,24,0.7992125984251968,True
coronet-peak:NZ:ERA5,48,1.763779527559055,True
coronet-peak:NZ:ERA5,72,1.763779527559055,True
corralco:CL:ERA5,24,1.9291338582677167,True
corralco:CL:ERA5,48,2.9488188976377954,True
corralco:CL:ERA5,72,,False
falls-creek:AU:ERA5,24,0.0,True
falls-creek:AU:ERA5,48,0.0,True
falls-creek:AU:ERA5,72,0.0,True
hotham:AU:ERA5,24,0.0,True
hotham:AU:ERA5,48,0.0,True
hotham:AU:ERA5,72,0.0,True
las-lenas:AR:ERA5,24,0.7165354330708662,True
las-lenas:AR:ERA5,48,8.598425196850393,True
las-lenas:AR:ERA5,72,,False
mt-buller:AU:ERA5,24,0.0826771653543307,True
mt-buller:AU:ERA5,48,0.0826771653543307,True
mt-buller:AU:ERA5,72,0.0826771653543307,True
mt-hutt:NZ:ERA5,24,0.6338582677165354,True
mt-hutt:NZ:ERA5,48,1.763779527559055,True
mt-hutt:NZ:ERA5,72,1.763779527559055,True
nevados-chillan:CL:ERA5,24,0.6889763779527559,True
nevados-chillan:CL:ERA5,48,0.9921259842519685,True
nevados-chillan:CL:ERA5,72,,False
penitentes:AR:ERA5,24,2.8937007874015745,True
penitentes:AR:ERA5,48,15.488188976377952,True
penitentes:AR:ERA5,72,,False
perisher:AU:ERA5,24,0.0,True
perisher:AU:ERA5,48,0.0,True
perisher:AU:ERA5,72,0.0,True
portillo:CL:ERA5,24,2.0393700787401574,True
portillo:CL:ERA5,48,8.653543307086615,True
portillo:CL:ERA5,72,,False
remarkables:NZ:ERA5,24,0.7992125984251968,True
remarkables:NZ:ERA5,48,1.763779527559055,True
remarkables:NZ:ERA5,72,1.763779527559055,True
thredbo:AU:ERA5,24,0.0,True
thredbo:AU:ERA5,48,0.0,True
thredbo:AU:ERA5,72,0.0,True
treble-cone:NZ:ERA5,24,0.5787401574803149,True
treble-cone:NZ:ERA5,48,1.3779527559055116,True
treble-cone:NZ:ERA5,72,1.3779527559055116,True
turoa:NZ:ERA5,24,0.0,True
turoa:NZ:ERA5,48,0.05511811023622048,True
turoa:NZ:ERA5,72,0.05511811023622048,True
valle-nevado:CL:ERA5,24,1.7913385826771653,True
valle-nevado:CL:ERA5,48,8.681102362204724,True
valle-nevado:CL:ERA5,72,,False
whakapapa:NZ:ERA5,24,0.0,True
whakapapa:NZ:ERA5,48,0.05511811023622048,True
whakapapa:NZ:ERA5,72,0.05511811023622048,True
